DOI,publication_date,total_size_kb,num_files,bash,stata,julia,python,R,C,C++,Matlab,fortran,SAS,Java,SPSS,Mathematica,PHP,Scilab
10.7910/DVN/26516,2014-06-14,4208.54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26586,2014-06-25,49.47,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26457,2014-06-10,143.03,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26555,2014-06-23,163.66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26612,2014-06-29,205059.32,34,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23302,2013-11-12,581.06,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/23063,2013-12-31,19695.37,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24714,2014-02-24,59.58,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24507,2014-01-27,49.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/24506,2014-02-24,618.32,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
